Fiil,İş,Oluş,Hareket,Eylem,Sözcük
Kuşbakışı,Harita,Tepe,Yukarı,Görmek,Kroki
Armağan,Hediye,Beklemek,Almak,Doğum Günü,Sevinmek/Mutlu Olmak
Şiir,Şair,Mısra,Dize,Kıta,Dörtlük
Uyak,Şiir,Dize,Benzerlik,Kafiye,Ses
Koordinat,Yer,Enlem/Boylam,Harita,Eksen,Nokta
Bilim,Deney/Gözlem,Makale,Fen,İlerleme,Çağdaşlık
Isaac Newton,Hareket Yasaları,Elma,Bilim İnsanı,Calculus,Fizik
Tümeller Problemi,Hristiyan Felsefesi,Kavramcılık,Kavram Realizmi,Sınıf,Üye
El Kindi,Hudus Delili,Filozof,İslam,Düzen,Yaratıcı
İhale,Belediye,Devlet,Zarf,Yolsuzluk,Kazanmak
Adolf Hitler,Almanya,Diktatör,Nazi,Faşizm,Yahudi
Ziraat,Tarım,Banka,Para,ATM,Kart
Monoton,Sıkıcı,Aynı,Rutin,Benzer,Sıradan
Miço,Tayfa,Gemi,Kaptan,Deniz,Yardımcı
Konvoy,Dizilmek/Sıralanmak,Düğün,Araç/Araba,Cumhurbaşkanı,Yol
Aşk, Sevgi, İlişki, Evlilik, Romantizm, Bağlılık
Atletizm, Koşu, Yarışma, Antrenman, Rekabet, Kondisyon
Avrupa, Kıta, Ülke, Modern, Batı, Birlik
Bahar, Çiçek, Yaprak, Tomurcuk, Yağmur, Doğa
Balık, Deniz, Akvaryum, Mercan, Yüzgeç, Sualtı
Basketbol, Top, Saha, Oyuncu, Pota, Pas
Başarı, Hedef, Çaba, Disiplin, Yükseliş, Ödül
Beyin, Zihin, Düşünce, Algı, Sinir, Nöron
Bilgisayar, Programlama, Klavye, Fare, İnternet, Mustafa
Bisiklet, Pedal, Tekerlek, Kadro, Yol, Tur
Buz Hokeyi, Paten, Kaleci, Sopa, Top, Çember
Caz, Müzik, Ritim, Solo, Konser, Enstrüman
Dans, Hareket, Müzik, Ritim, Adım, Eğlence
Deneyim, Tecrübe, Öğrenme, Yaşam, İlerleme, Yaşlılık
Diş fırçası,Sağlık,İp,Doktor/Hekim,Beyaz,Ağrı
Doğa, Tabiat, Orman, Dağ, Nehir, Manzara
Tekvando,Yumruk,Tekme,Kuşak,Dövüş Sanatı,Uzak Doğu
Edebiyat, Şiir, Roman, Hikaye, Dil, Yazım
Egzersiz, Fitness, Spor salonu, Aerobik, Kardiyo, Kuvvet
Ekonomi, Ticaret, Piyasa, Para, Banka, Maliye
Elektronik, Teknoloji, Devre, Chip, Transistör, Robot
El Sanatları,Örgü,Nakış,Dikiş,Dokuma,Yapıştırma
Emeklilik, Yaşlılık, Tasarruf, Gelir, Emek, Hayat
Evcil hayvan, Kedi, Köpek, Papağan, Akvaryum balığı, Kaplumbağa
Evlilik, Aşk, Bağlılık, Sevgi, Sorumluluk, Kısıtlanmak
Evren, Uzay, Galaksi, Gezegen, Yıldız, Genişlemek
Felsefe, Mantık, Düşünce, Varlık, Gerçek, Thales
Film, Sinema, Yönetmen, Oyuncu, Senaryo, İzlemek
Fotoğraf, Makine, Flaş, Poz, Işık, Görüntü
Futbol, Top, Stadyum, Oyuncu, Hakem, Taraftar
Gezi, Tatil, Yolculuk, Tur, Harita, Rota
Gitar, Müzik/Şarkı, Teller, Akor, Solo,Alet/Çalgı
Gökyüzü, Bulut, Güneş, Ay, Yıldız, Meteor
Güzellik, Estetik, Cilt bakımı, Saç, Makyaj, Moda
Halk oyunları, Dans, Müzik, Geleneksel, Gösteri, Kostüm
Hayat, Yaşam, Anlam, Mutluluk, Zorluk, Başarı
Hava durumu, Tahmin, Meteoroloji, Rüzgar, Yağmur, Güneş
İklim, Doğa, Hava, Sıcaklık, Nem, Mevsim
İletişim, Konuşma, Mesajlaşma, E-posta, Telefon, Sosyal medya
Kopenhag Kritlerleri,İnsan Hakları,Demokrasi,İfade Özgürlüğü,Hukukun Bağımsızlığı,Avrupa Birliği
İşletme, Yönetim, Finans, Pazarlama, İş stratejisi, Müşteri
İzci, Doğa, Kamp, Ateş, Pusula, Macera
Jimnastik, Spor, Esneme, Paralel bar, Atlama, Denge
Kahve, İçecek, Filtre, Espresso, Latte, Kafein
Karikatür, Mizah, Çizgi roman, Karakter, Espri, Dalga
Kedi, Evcil hayvan, Tüy, Pati, Miyav, Köpek
Kıyafet, Giyim, Moda, Stil, Tasarım, Tarz
Kitap, Roman, Hikaye, Yazar, Okuma, Kütüphane
Korku, Gerilim,Film, Heyecan/Panik, Endişe, Dehşet
Kültür, Sanat, Dil, Tarih, Gelenek, Miras
Kumsal, Deniz, Güneşlenme, Şezlong, Plaj voleybolu, Dalga
Kuyumculuk, Mücevherat, Altın/Gümüş,Takı/Yüzük,Elmas, Kolye/Bilezik
Liderlik, Takım çalışması, Karar verme, Motivasyon, Yönetim, Önderlik
Macera, Keşif,Heyecan,Roman,Film/Dizi,Hikaye
Medya,TV/Gazete,Basın,Kamuoyu,İnternet,Haber
Mimari, Yapı, Saray,Tasarım, Estetik, Bina
Moda, Stil, Giyim, Aksesuar, Tasarım, Defile
Mutfak, Yemek, Pişirme, Fırın/Ocak, Tencere/Tabak, Buzdolabı/Bulaşık Makinesi
Mühendislik, Makine, Elektrik, Bilgisayar, Yapı, Uzay
Nefes, Yoga, Meditasyon, Stres, Ciğer, ATP
Okyanus, Denizaltı, Su altı, Mercan, Balina, Dalgıçlık
Otomobil, Araba, Sürüş, Yakıt, Tekerlek, Hız
Öğrenme, Eğitim, Bilgi, Ders, Öğretmen, Öğrenci
Örgü, Elişi, İplik Şiş, Kazak, Bere, Patik
Para, Ekonomi, Borsa, İşletme, Yatırım, Banka
Performans, Sahne, Tiyatro, Dans, Konser, Oyun
Pilates, Fitness, Egzersiz, Esneme, Güçlendirme, Beden farkındalığı
Psikoloji, Zihin sağlığı, Terapi, Stres, Davranış, Ruhsal hastalık
Reklam, Pazarlama, Tanıtım, Satış, Kampanya, Marka
Restoran, Yemek, İçecek, Garson, Menü, Şef
Robotik, Yapay zeka, Endüstriyel otomasyon, Programlama, Sensör, Mekatronik
Sağlık, Hastalık, İlaç, Doktor, Hastane, Sağlık sigortası
Sanat, Resim, Heykel, Fotoğraf, Sergi, Sanatçı
Sebze, Meyve, Organik, Market, Bahçe, Tarım
Sevgi, Aşk, İlişki, Evlilik, Arkadaşlık, Flört
Sinema, Film, Yönetmen, Senaryo, Aktör, Oscar
Siyaset, Politika, Devlet, Seçim, Demokrasi, Platon
Spor, Futbol, Basketbol, Voleybol, Tenis, Yüzme
Tarih, Geçmiş, Arkeoloji, Kaynak, Savaş, İmparatorluk
Tatlı, Şekerleme, Çikolata, Dondurma, Pasta, Kurabiye
Teknoloji, İnovasyon, Bilgi teknolojisi, İnternet, Bilim, Mustafa
Tiyatro, Oyun, Sahne, Perde, Rol, Kostüm
Turizm, Gezi, Seyahat, Rehber, Turist, Tatil köyü
Uçak, Havacılık, Pilot, Uçuş, Hava yolu,Bilet
Uzay, Astronomi, Gezegen, Yıldız, Galaksi,Boşluk
Yarış, Spor, Atletizm, Pist, Koşu, Zafer
Yasa, Hukuk, Adalet, Avukat, Ceza, Mahkeme
Yerel yemek, Geleneksel lezzet, Mutfak, Bölge, Damak tadı, Restoran
Yolculuk, Seyahat, Tren, Otobüs, Araba, Uçak
Makyaj,Yüz, Cilt bakımı, Kozmetik, Parfüm, Güzellik
Yüzme, Havuz, Deniz, Su sporları, Palet, Dalış
Yürüyüş, Spor, Egzersiz, Sağlık, Yol, Ayakkabı
Zaman, Saat/Dakika/Saniye,Takvim, Geçmiş,Boyut,Mekan
Zeka, Zekâ testi, Beyin, Hafıza, Oyun,Akıl
Zeytin, Zeytinyağı, Zeytin ağacı, Zeytin yaprağı, Zeytin ezmesi, Akdeniz mutfağı
Zombi, Korku, Hayatta kalma, Bilim kurgu, Ölü, Veba
Zorlu, Zorlayıcı, Yorucu, Engelli, Ağır, Meşakkatli
Hava durumu, Meteoroloji, Tahmin, Isı, Nem, Rüzgar
Helikopter, Uçuş, Pervane, Taşıt, Kurtarma, Askeri
İlaç, Hap, Bağımlılık, Reçete, Yan etki,Doz
İletişim, Konuşma, Dil, Sosyal medya, Mesajlaşma, Etkileşim
İngilizce, Dil öğrenme, Kelime, Gramer, İfade, İletişim
İşletme, Yönetim, Maliyet, Pazarlama, Satış, Kar
Japonya,Manga,Anime,Atom Bombası,Kamikaze,Asya
Kafein, Kola, Kahve, Çay, Enerji içeceği, Uyarıcı
Kano, Su sporu, Nehir, Göl, Rekreasyon, Kürek
Karate, Dövüş sanatı, Spor, Savunma, Teknik, Hareket
Kayak, Kış sporu, Kayak merkezi, Kayağı, Kar, Kayak tatili
Kaynak kodu,Programlama,Yazılım geliştirme,Kodlama,Açık kaynak,İşletim sistemi
Keman, Müzik aleti, Yaylı çalgılar, Konçerto, Klasik müzik, Nota
Kıyafet, Moda, Giyim, Stil, Tasarım, Aksesuar
Klima, Isıtma, Soğutma, Havalandırma, Vantilatör,Isı
Kriptografi, Güvenlik, Veri koruma, Şifreleme, Deşifreleme, Veri güvenliği
Kuaför, Saç kesimi, Saç boyama, Şampuanlama, Saç şekillendirme, Kuaför malzemeleri
Kültür, Sanat, Gelenek, Tarih, Müze, Festival
Küresel ısınma, İklim değişikliği/Krizi, Sera gazı, Fosil yakıtlar, Buzulların Erimesi, Kutup Ayısı
Labirent, Bulmaca,Oyun,Çizgi,Yol,Çözüm
Limon, Meyve, C vitamini, Limon suyu, Limon kabuğu, Limon ağacı
Lise, Eğitim, Gençlik, Öğrenci/Okul/Sınıf, Dersler/Sınavlar,Çalışmak
Maden, Kazı, Mineral, Rezerv, Yer altı kaynakları,Altın/Elmas/Demir
Mantar, Mantar yemeği, Eşeysiz Üreme, Orman, Zehir, Şapka
Markalaşma, Reklam, Pazarlama, Müşteri sadakati, Tanıtım, İmaj
Matematik, Sayılar, Formüller, Geometri, İşlemler, Fonksiyonlar
Mimarlık, Yapı, Planlama, Mimari stil, Tasarım, Estetik
Mobilya, Dekorasyon, İç tasarım, Sandalye, Koltuk, Masa
Modüler yapı, Prefabrik, Yapı malzemeleri, Modüler ev, Yapı sistemleri, Modüler inşaat
Oksijen, Element, Hava, Atmosfer, Su,Solunum
Okyanus, Deniz, Mercan resifleri, Dalgalar, Su altı yaşamı, Balıkçılık
Olimpiyatlar, Spor etkinliği, Uluslararası, Olimpiyat bayrağı, Madalya, Olimpiyat stadyumu
Opera, Şan, Sahne sanatları, Klasik müzik, İtalyan kültürü, Opera bale
Ordu, Asker, Silah, Savaş uçağı, Tank, Cephe hattı
Otobüs, Toplu taşıma, Şehir içi, Sefer, Durak, Otobüs bileti
Oyun, Eğlence, Strateji, Kart oyunu, Bilgisayar oyunu, Oyun kuralları
Parfüm, Koku, Deodorant, Parfüm şişesi, Güzel,Aroma
Peyzaj, Bahçe tasarımı, Doğal manzara, Park, Bahçe dekorasyonu, Peyzaj mimarisi
Pilates, Egzersiz, Esneme, Fitness, Vücut sağlığı, Pilates matı
Pilav, Yemek, Pirinç, Türk mutfağı, Nohutlu/Pirinç pilav, Etli pilav
Plaj, Tatil, Deniz, Kum, Şezlong, Plaj voleybolu
Planlama, Proje yönetimi, İş stratejisi, İşletme, Gelişim, Planlama aşamaları
Popüler kültür, Medya, Trendler, Sanat, Moda, Eğlence
Radyo, Haber, Müzik, Frekans, Yayın, Radyo programı
Restoran, Yemek, Menü, Garson, Mutfak, Restoran dekorasyonu
Roman, Edebiyat, Yazar, Öykü, Karakter, Macera
Satranç, Tahta oyunu, Strateji, Şah/Vezir, Mat, Kale
Sigara,Tütün,İçmek,Çekmek,Pasif İçici,Çakmak
Sivil toplum örgütü, Gönüllülük,Yardım,Dayanışma,Sendika,STK
Şarap, İçki, Üzüm, Şarap tadımı, Şarap kadehi, Şarap Şişesi
Şehir,İl,Meydan,Merkez,Çarşı,Mimari
Takı, Mücevher, Kolye, Bileklik, Küpe, Yüzük
Tarım, Çiftlik, Tohum, Hasat, Tarım makineleri, Tarım ilacı
Tatil, Turizm, Seyahat, Konaklama, Gezi, Yolculuk
Televizyon, Program, Kanal, Dizi, Ekran, Kablolu Yayın
Toplum, Sosyal yaşam, Toplumsal cinsiyet, Toplumsal değişim, Toplumsal hareketler, Toplumsal farkındalık
Turizm, Seyahat, Turist, Gezi, Konaklama, Tatil köyü
Uzay, Astronomi, Yıldızlar, Galaksi, Uzay keşfi, Uzay araçları
Yalıtım, Yapı malzemesi, Isı yalıtımı, Ses yalıtımı, Yalıtım çeşitleri, Yalıtım uygulamaları
Yoga, Meditasyon, Nefes egzersizi, Esneme, Yoga matı, Yoga pozları
Yönetim, İşletme yönetimi, Liderlik, Strateji, İşletme, Yönetim becerileri
Yüzme, Spor, Rekabet, Havuz, Yüzme stili, Yüzme teknikleri
